Item Code,Description,Item Category,Oraganization,Sub Inventory,To Location,To Subinventory,Document Number,Transaction ID,Transaction DATE,SellingÂ  Price,Value of Selling Price,Lot Number,UOM,Transaction Type,Transaction Quantity,Transaction Cost,Transaction Value,Balance Quantity,Balance Value
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1111013934.0,01-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,57.0,603.53578
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1111288236.0,01-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,56.0,592.94743
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1113012488.0,04-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,55.0,582.35909
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1113134740.0,05-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,54.0,571.77074
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1113484684.0,06-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,53.0,561.18239
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1114890532.0,08-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,52.0,550.59404
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1115847884.0,10-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,51.0,540.0057
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1115911967.0,10-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,50.0,529.41735
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1116057348.0,10-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,49.0,518.829
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1116835159.0,12-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,48.0,508.24066
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1116876310.0,12-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,47.0,497.65231
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1116876530.0,12-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,46.0,487.06396
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1117056163.0,13-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,45.0,476.47562
6200030001,DAKTARIN 2% ORAL GEL 40 G,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1117646711.0,14-01-2024,16.5,-16.5,450685.0,TUB,Issue to Patient,1.0,10.58835,-10.58835,44.0,465.88727
